This file is generated by Kotomi PC software
Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0day00:00:00,4.8530,1.4989,0.0202,0.0042,0.13,0.13
0day00:00:10,4.8560,1.4991,0.0404,0.0083,0.25,0.25
0day00:00:20,4.8610,1.4992,0.0607,0.0125,0.38,0.38
0day00:00:30,4.8630,1.4992,0.0809,0.0167,0.50,0.50
0day00:00:40,4.8630,1.4991,0.1012,0.0208,0.63,0.63
0day00:00:50,4.8620,1.4995,0.1214,0.0250,0.76,0.75
0day00:01:00,4.8610,1.4992,0.1417,0.0292,0.88,0.88
0day00:01:10,4.8610,1.4994,0.1619,0.0333,1.01,1.01
0day00:01:20,4.8610,1.4992,0.1822,0.0375,1.14,1.13
0day00:01:30,4.8620,1.4993,0.2024,0.0416,1.26,1.26
0day00:01:40,4.8620,1.4989,0.2226,0.0458,1.39,1.38
0day00:01:50,4.8620,1.4991,0.2429,0.0500,1.51,1.51
0day00:02:00,4.8620,1.4990,0.2631,0.0541,1.64,1.63
0day00:02:10,4.8620,1.4989,0.2834,0.0583,1.77,1.76
0day00:02:20,4.8620,1.4990,0.3036,0.0625,1.89,1.89
0day00:02:30,4.8620,1.4988,0.3239,0.0666,2.02,2.01
0day00:02:40,4.8620,1.4992,0.3441,0.0708,2.14,2.14
0day00:02:50,4.8630,1.4990,0.3644,0.0750,2.27,2.26
0day00:03:00,4.8630,1.4988,0.3846,0.0791,2.40,2.39
0day00:03:10,4.8630,1.4986,0.4049,0.0833,2.52,2.52
0day00:03:20,4.8640,1.4988,0.4251,0.0874,2.65,2.64
0day00:03:30,4.8640,1.4988,0.4454,0.0916,2.78,2.77
0day00:03:40,4.8640,1.4991,0.4656,0.0958,2.90,2.89
0day00:03:50,4.8640,1.4992,0.4859,0.0999,3.03,3.02
0day00:04:00,4.8640,1.4993,0.5061,0.1041,3.15,3.14
0day00:04:10,4.8640,1.4989,0.5264,0.1083,3.28,3.27
0day00:04:20,4.8640,1.4990,0.5466,0.1124,3.41,3.40
0day00:04:30,4.8650,1.4984,0.5669,0.1166,3.53,3.52
0day00:04:40,4.8650,1.4992,0.5871,0.1208,3.66,3.65
0day00:04:50,4.8650,1.4988,0.6074,0.1249,3.79,3.77
0day00:05:00,4.8650,1.4989,0.6277,0.1291,3.91,3.90
0day00:05:10,4.8660,1.4985,0.6479,0.1332,4.04,4.02
0day00:05:20,4.8660,1.4986,0.6682,0.1374,4.16,4.15
0day00:05:30,4.8660,1.4988,0.6884,0.1416,4.29,4.28
0day00:05:40,4.8660,1.4981,0.7087,0.1457,4.42,4.40
0day00:05:50,4.8660,1.4990,0.7289,0.1499,4.54,4.53
0day00:06:00,4.8660,1.4987,0.7492,0.1541,4.67,4.65
0day00:06:10,4.8660,1.4986,0.7694,0.1582,4.80,4.78
0day00:06:20,4.8660,1.4986,0.7897,0.1624,4.92,4.90
0day00:06:30,4.8670,1.4987,0.8100,0.1665,5.05,5.03
0day00:06:40,4.8670,1.4989,0.8302,0.1707,5.17,5.16
0day00:06:50,4.8670,1.4987,0.8505,0.1749,5.30,5.28
0day00:07:00,4.8670,1.4986,0.8707,0.1790,5.43,5.41
0day00:07:10,4.8670,1.4986,0.8910,0.1832,5.55,5.53
0day00:07:20,4.8670,1.4986,0.9113,0.1874,5.68,5.66
0day00:07:30,4.8670,1.4986,0.9315,0.1915,5.81,5.78
0day00:07:40,4.8670,1.4984,0.9518,0.1957,5.93,5.91
0day00:07:50,4.8670,1.4986,0.9720,0.1999,6.06,6.04
0day00:08:00,4.8670,1.4986,0.9923,0.2040,6.18,6.16
0day00:08:10,4.8670,1.4987,1.0126,0.2082,6.31,6.29
0day00:08:20,4.8670,1.4994,1.0328,0.2123,6.44,6.41
0day00:08:30,4.8670,1.4986,1.0531,0.2165,6.56,6.54
0day00:08:40,4.8670,1.4983,1.0734,0.2207,6.69,6.66
0day00:08:50,4.8670,1.4985,1.0936,0.2248,6.82,6.79
0day00:09:00,4.8670,1.4984,1.1139,0.2290,6.94,6.92
0day00:09:10,4.8670,1.4985,1.1341,0.2332,7.07,7.04
0day00:09:20,4.8670,1.4984,1.1544,0.2373,7.19,7.17
0day00:09:30,4.8670,1.4993,1.1747,0.2415,7.32,7.29
0day00:09:40,4.8680,1.4992,1.1949,0.2456,7.45,7.42
0day00:09:50,4.8680,1.4986,1.2152,0.2498,7.57,7.54
0day00:10:00,4.8680,1.4986,1.2355,0.2540,7.70,7.67
0day00:10:10,4.8680,1.4987,1.2557,0.2581,7.83,7.80
0day00:10:20,4.8680,1.4985,1.2760,0.2623,7.95,7.92
0day00:10:30,4.8690,1.4984,1.2963,0.2665,8.08,8.05
0day00:10:40,4.8690,1.4988,1.3165,0.2706,8.20,8.17
0day00:10:50,4.8690,1.4984,1.3368,0.2748,8.33,8.30
0day00:11:00,4.8690,1.4987,1.3571,0.2789,8.46,8.42
0day00:11:10,4.8690,1.4985,1.3773,0.2831,8.58,8.55
0day00:11:20,4.8680,1.4988,1.3976,0.2873,8.71,8.68
0day00:11:30,4.8680,1.4985,1.4179,0.2914,8.84,8.80
0day00:11:40,4.8680,1.4988,1.4381,0.2956,8.96,8.93
0day00:11:50,4.8680,1.4988,1.4584,0.2998,9.09,9.05
0day00:12:00,4.8680,1.4984,1.4787,0.3039,9.22,9.18
0day00:12:10,4.8680,1.4988,1.4989,0.3081,9.34,9.30
0day00:12:20,4.8680,1.4987,1.5192,0.3123,9.47,9.43
0day00:12:30,4.8680,1.4987,1.5395,0.3164,9.59,9.56
0day00:12:40,4.8680,1.4986,1.5597,0.3206,9.72,9.68
