This file is generated by Kotomi PC software
Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0day00:00:00,4.8350,0.9900,0.0133,0.0028,1.85,1.70
0day00:00:10,4.8350,0.9896,0.0266,0.0055,3.69,3.40
0day00:00:20,4.8340,0.9894,0.0399,0.0082,5.54,5.10
0day00:00:30,4.8340,0.9890,0.0532,0.0110,7.39,6.81
0day00:00:40,4.8340,0.9895,0.0664,0.0137,9.23,8.51
0day00:00:50,4.8350,0.9896,0.0797,0.0165,11.08,10.21
0day00:01:00,4.8350,0.9897,0.0930,0.0192,12.93,11.91
0day00:01:10,4.8350,0.9894,0.1063,0.0220,14.77,13.61
0day00:01:20,2.5570,0.2638,0.1082,0.0227,15.03,14.06
0day00:01:30,2.5520,0.2478,0.1099,0.0234,15.28,14.49
0day00:01:40,2.5470,0.2311,0.1116,0.0241,15.50,14.89
0day00:01:50,2.5480,0.2306,0.1132,0.0247,15.73,15.28
0day00:02:00,2.5500,0.2322,0.1149,0.0253,15.96,15.68
0day00:02:10,2.5510,0.2349,0.1165,0.0260,16.19,16.09
0day00:02:20,2.5530,0.2386,0.1182,0.0267,16.42,16.50
0day00:02:30,2.5560,0.2447,0.1199,0.0273,16.67,16.92
0day00:02:40,2.5600,0.2523,0.1217,0.0280,16.92,17.35
0day00:02:50,2.5640,0.2605,0.1236,0.0288,17.17,17.80
0day00:03:00,2.5680,0.2723,0.1255,0.0295,17.44,18.27
0day00:03:10,2.5710,0.2836,0.1276,0.0303,17.72,18.76
0day00:03:20,2.5750,0.2967,0.1297,0.0311,18.02,19.27
0day00:03:30,2.5800,0.3127,0.1319,0.0320,18.33,19.80
0day00:03:40,2.5850,0.3340,0.1343,0.0329,18.66,20.38
0day00:03:50,2.5960,0.3735,0.1370,0.0340,19.04,21.02
0day00:04:00,2.6200,0.4717,0.1405,0.0353,19.52,21.83
0day00:04:10,4.6150,0.9891,0.1531,0.0380,21.28,23.53
0day00:04:20,4.8240,0.9892,0.1664,0.0408,23.12,25.23
0day00:04:30,2.6460,0.4631,0.1698,0.0421,23.59,26.03
0day00:04:40,2.6410,0.4342,0.1730,0.0433,24.03,26.77
0day00:04:50,2.6410,0.4316,0.1761,0.0445,24.47,27.52
0day00:05:00,2.6480,0.4568,0.1795,0.0457,24.94,28.30
0day00:05:10,4.8390,0.9893,0.1928,0.0485,26.79,30.00
0day00:05:20,4.8370,0.9894,0.2061,0.0512,28.64,31.70
0day00:05:30,4.8360,0.9898,0.2194,0.0540,30.48,33.41
0day00:05:40,4.8360,0.9896,0.2327,0.0567,32.33,35.11
0day00:05:50,4.8350,0.9897,0.2460,0.0595,34.18,36.81
0day00:06:00,4.8350,0.9897,0.2593,0.0622,36.02,38.51
0day00:06:10,4.8350,0.9896,0.2726,0.0650,37.87,40.21
0day00:06:20,4.8340,0.9896,0.2858,0.0677,39.72,41.91
0day00:06:30,4.8340,0.9896,0.2991,0.0705,41.56,43.61
0day00:06:40,4.8350,0.9895,0.3124,0.0732,43.41,45.32
0day00:06:50,4.8350,0.9894,0.3257,0.0760,45.26,47.02
0day00:07:00,4.8350,0.9895,0.3390,0.0787,47.10,48.72
0day00:07:10,4.8350,0.9896,0.3523,0.0815,48.95,50.42
0day00:07:20,4.8350,0.9896,0.3656,0.0842,50.80,52.12
0day00:07:30,4.8340,0.9880,0.3789,0.0870,52.64,53.82
0day00:07:40,4.8350,0.9894,0.3921,0.0897,54.49,55.52
0day00:07:50,4.8350,0.9896,0.4054,0.0925,56.33,57.22
0day00:08:00,4.8340,0.9901,0.4187,0.0952,58.18,58.92
0day00:08:10,4.8340,0.9894,0.4320,0.0979,60.03,60.63
0day00:08:20,4.4410,0.9895,0.4442,0.1007,61.72,62.33
0day00:08:30,3.4780,0.9288,0.4532,0.1033,62.97,63.92
0day00:08:40,2.7810,0.7183,0.4587,0.1053,63.74,65.16
0day00:08:50,2.5830,0.2854,0.4608,0.1061,64.02,65.65
0day00:09:00,2.5770,0.2680,0.4627,0.1068,64.29,66.11
0day00:09:10,2.5810,0.2838,0.4647,0.1076,64.57,66.60
0day00:09:20,2.6830,0.6302,0.4694,0.1093,65.23,67.68
0day00:09:30,4.6000,0.9888,0.4821,0.1121,66.98,69.38
0day00:09:40,4.8370,0.9895,0.4954,0.1148,68.83,71.08
0day00:09:50,4.8360,0.9895,0.5087,0.1176,70.68,72.78
0day00:10:00,4.8350,0.9896,0.5219,0.1203,72.52,74.49
0day00:10:10,4.8350,0.9892,0.5352,0.1231,74.37,76.19
0day00:10:20,4.8350,0.9895,0.5485,0.1258,76.22,77.89
0day00:10:30,4.8350,0.9896,0.5618,0.1286,78.06,79.59
0day00:10:40,4.8300,0.9895,0.5751,0.1313,79.91,81.29
0day00:10:50,4.8260,0.9892,0.5884,0.1341,81.75,82.99
0day00:11:00,4.8240,0.9884,0.6016,0.1368,83.59,84.69
0day00:11:10,4.8180,0.9895,0.6148,0.1396,85.43,86.39
0day00:11:20,4.8120,0.9893,0.6281,0.1423,87.27,88.09
0day00:11:30,4.7980,0.9896,0.6413,0.1451,89.10,89.79
0day00:11:40,4.7850,0.9894,0.6544,0.1478,90.93,91.50
0day00:11:50,4.7700,0.9892,0.6675,0.1506,92.75,93.20
0day00:12:00,4.7650,0.9895,0.6806,0.1533,94.57,94.90
0day00:12:10,4.7560,0.9890,0.6937,0.1561,96.38,96.60
0day00:12:20,4.7400,0.9895,0.7067,0.1588,98.19,98.30
0day00:12:30,4.7320,0.9893,0.7197,0.1616,100.00,100.00
0day00:12:40,4.7110,0.9891,0.7326,0.1643,101.80,101.70
